,ECG_1,ECG_2,Time_Adjusted
0,-0.145,-0.065,0.0
1,,,0.002777777777777778
2,,,0.005555555555555556
3,,,0.008333333333333333
4,,,0.011111111111111112
5,,,0.013888888888888888
6,,,0.016666666666666666
7,,,0.019444444444444445
8,,,0.022222222222222223
9,,,0.025
10,,,0.027777777777777776
11,,,0.030555555555555555
12,,,0.03333333333333333
13,,,0.03611111111111111
14,,,0.03888888888888889
15,,,0.041666666666666664
16,,,0.044444444444444446
17,,,0.04722222222222222
18,,,0.05
19,,,0.05277777777777778
20,,,0.05555555555555555
21,,,0.058333333333333334
22,,,0.06111111111111111
23,,,0.06388888888888888
24,,,0.06666666666666667
25,,,0.06944444444444445
26,,,0.07222222222222222
27,,,0.075
28,,,0.07777777777777778
29,,,0.08055555555555556
30,,,0.08333333333333333
31,,,0.08611111111111111
32,,,0.08888888888888889
33,,,0.09166666666666666
34,,,0.09444444444444444
35,,,0.09722222222222222
36,,,0.1
37,,,0.10277777777777777
38,,,0.10555555555555556
39,,,0.10833333333333334
40,,,0.1111111111111111
41,,,0.11388888888888889
42,,,0.11666666666666667
43,,,0.11944444444444445
44,,,0.12222222222222222
45,,,0.125
46,,,0.12777777777777777
47,,,0.13055555555555556
48,,,0.13333333333333333
49,,,0.1361111111111111
50,,,0.1388888888888889
51,,,0.14166666666666666
52,,,0.14444444444444443
53,,,0.14722222222222223
54,,,0.15
55,,,0.1527777777777778
56,,,0.15555555555555556
57,,,0.15833333333333333
58,,,0.16111111111111112
59,,,0.1638888888888889
60,,,0.16666666666666666
61,,,0.16944444444444445
62,,,0.17222222222222222
63,,,0.175
64,,,0.17777777777777778
65,,,0.18055555555555555
66,,,0.18333333333333332
67,,,0.18611111111111112
68,,,0.18888888888888888
69,,,0.19166666666666668
70,,,0.19444444444444445
71,,,0.19722222222222222
72,,,0.2
73,,,0.20277777777777778
74,,,0.20555555555555555
75,,,0.20833333333333334
76,,,0.2111111111111111
77,,,0.21388888888888888
78,,,0.21666666666666667
79,,,0.21944444444444444
80,,,0.2222222222222222
81,,,0.225
82,,,0.22777777777777777
83,,,0.23055555555555557
84,,,0.23333333333333334
85,,,0.2361111111111111
86,,,0.2388888888888889
87,,,0.24166666666666667
88,,,0.24444444444444444
89,,,0.24722222222222223
90,,,0.25
91,,,0.25277777777777777
92,,,0.25555555555555554
93,,,0.25833333333333336
94,,,0.2611111111111111
95,,,0.2638888888888889
96,,,0.26666666666666666
97,,,0.26944444444444443
98,,,0.2722222222222222
99,,,0.275
100,,,0.2777777777777778
101,,,0.28055555555555556
102,,,0.2833333333333333
103,,,0.2861111111111111
104,,,0.28888888888888886
105,,,0.2916666666666667
106,,,0.29444444444444445
107,,,0.2972222222222222
108,,,0.3
109,,,0.30277777777777776
110,,,0.3055555555555556
111,,,0.30833333333333335
112,,,0.3111111111111111
113,,,0.3138888888888889
114,,,0.31666666666666665
115,,,0.3194444444444444
116,,,0.32222222222222224
117,,,0.325
118,,,0.3277777777777778
119,,,0.33055555555555555
120,,,0.3333333333333333
121,,,0.33611111111111114
122,,,0.3388888888888889
123,,,0.3416666666666667
124,,,0.34444444444444444
125,,,0.3472222222222222
126,,,0.35
127,,,0.3527777777777778
128,,,0.35555555555555557
129,,,0.35833333333333334
130,,,0.3611111111111111
131,,,0.3638888888888889
132,,,0.36666666666666664
133,,,0.36944444444444446
134,,,0.37222222222222223
135,,,0.375
136,,,0.37777777777777777
137,,,0.38055555555555554
138,,,0.38333333333333336
139,,,0.3861111111111111
140,,,0.3888888888888889
141,,,0.39166666666666666
142,,,0.39444444444444443
143,,,0.3972222222222222
144,,,0.4
145,,,0.4027777777777778
146,,,0.40555555555555556
147,,,0.4083333333333333
148,,,0.4111111111111111
149,,,0.41388888888888886
150,,,0.4166666666666667
151,,,0.41944444444444445
152,,,0.4222222222222222
153,,,0.425
154,,,0.42777777777777776
155,,,0.4305555555555556
156,,,0.43333333333333335
157,,,0.4361111111111111
158,,,0.4388888888888889
159,,,0.44166666666666665
160,,,0.4444444444444444
161,,,0.44722222222222224
162,,,0.45
163,,,0.4527777777777778
164,,,0.45555555555555555
165,,,0.4583333333333333
166,,,0.46111111111111114
167,,,0.4638888888888889
168,,,0.4666666666666667
169,,,0.46944444444444444
170,,,0.4722222222222222
171,,,0.475
172,,,0.4777777777777778
173,,,0.48055555555555557
174,,,0.48333333333333334
175,,,0.4861111111111111
176,,,0.4888888888888889
177,,,0.49166666666666664
178,,,0.49444444444444446
179,,,0.49722222222222223
180,,,0.5
181,,,0.5027777777777778
182,,,0.5055555555555555
183,,,0.5083333333333333
184,,,0.5111111111111111
185,,,0.5138888888888888
186,,,0.5166666666666667
187,,,0.5194444444444445
188,,,0.5222222222222223
189,,,0.525
190,,,0.5277777777777778
191,,,0.5305555555555556
192,,,0.5333333333333333
193,,,0.5361111111111111
194,,,0.5388888888888889
195,,,0.5416666666666666
196,,,0.5444444444444444
197,,,0.5472222222222223
198,,,0.55
199,,,0.5527777777777778
200,,,0.5555555555555556
201,,,0.5583333333333333
202,,,0.5611111111111111
203,,,0.5638888888888889
204,,,0.5666666666666667
205,,,0.5694444444444444
206,,,0.5722222222222222
207,,,0.575
208,,,0.5777777777777777
209,,,0.5805555555555556
210,,,0.5833333333333334
211,,,0.5861111111111111
212,,,0.5888888888888889
213,,,0.5916666666666667
214,,,0.5944444444444444
215,,,0.5972222222222222
216,,,0.6
217,,,0.6027777777777777
218,,,0.6055555555555555
219,,,0.6083333333333333
220,,,0.6111111111111112
221,,,0.6138888888888889
222,,,0.6166666666666667
223,,,0.6194444444444445
224,,,0.6222222222222222
225,,,0.625
226,,,0.6277777777777778
227,,,0.6305555555555555
228,,,0.6333333333333333
229,,,0.6361111111111111
230,,,0.6388888888888888
231,,,0.6416666666666667
232,,,0.6444444444444445
233,,,0.6472222222222223
234,,,0.65
235,,,0.6527777777777778
236,,,0.6555555555555556
237,,,0.6583333333333333
238,,,0.6611111111111111
239,,,0.6638888888888889
240,,,0.6666666666666666
241,,,0.6694444444444444
242,,,0.6722222222222223
243,,,0.675
244,,,0.6777777777777778
245,,,0.6805555555555556
246,,,0.6833333333333333
247,,,0.6861111111111111
248,,,0.6888888888888889
249,,,0.6916666666666667
250,,,0.6944444444444444
251,,,0.6972222222222222
252,,,0.7
253,,,0.7027777777777777
254,,,0.7055555555555556
255,,,0.7083333333333334
256,,,0.7111111111111111
257,,,0.7138888888888889
258,,,0.7166666666666667
259,,,0.7194444444444444
260,,,0.7222222222222222
261,,,0.725
262,,,0.7277777777777777
263,,,0.7305555555555555
264,,,0.7333333333333333
265,,,0.7361111111111112
266,,,0.7388888888888889
267,,,0.7416666666666667
268,,,0.7444444444444445
269,,,0.7472222222222222
270,,,0.75
271,,,0.7527777777777778
272,,,0.7555555555555555
273,,,0.7583333333333333
274,,,0.7611111111111111
275,,,0.7638888888888888
276,,,0.7666666666666667
277,,,0.7694444444444445
278,,,0.7722222222222223
279,,,0.775
280,,,0.7777777777777778
281,,,0.7805555555555556
282,,,0.7833333333333333
283,,,0.7861111111111111
284,,,0.7888888888888889
285,,,0.7916666666666666
286,,,0.7944444444444444
287,,,0.7972222222222223
288,,,0.8
289,,,0.8027777777777778
290,,,0.8055555555555556
